mention_id	volume	host_xml_id	host_person_id	host_heading	surname_token	mention_name	verdict	method	resolved_hub_id	resolved_heading	candidate_hub_ids	candidate_headings	candidate_scores	family_cluster	chips	gold_hub_id	gold_agrees	sentence
M-Volume_4IIIorg-NOXID-אַבראַמאָוויטש-001	4	facs_325_tr_1754998561	P-4-facs_325_tr_1754998561	רייכער, עמנואל	אבראמאוויטש	אַבראַמאָוויטש	AMBIGUOUS	low_margin			HUB-D694|HUB-D1108|HUB-D1109|HUB-D742	אַבראַמאָוויטש, מאַקס (מענדל)|אַבראַמאָוויטש, חיים|אַבראַמאָוויטש, איזאַק|אַבראַמאָוויטש, בינע [פוקס]	0.4|0.3|0.3|0.05	0	gender:male|career-overlap|gender-mismatch	HUB-D1109		"צילע אַדלער דערציילט ווי צופרידן זיי זיינען געווען ""ווען עמאַנועל רייכער האָט געזונגען שבחים צו אונדזער בינע אַבראַמאָוויטש און גרשון רובין"""
M-volume_1IIIorg-NOXID-אַבראָמאָוון-000	1	facs_59_tr_1740521094	P-1-facs_59_tr_1740521094	אָפֿפֿערמאַן, פאָלינאַ [פּערל]	אבראמאוון	אַבראָמאָוון	AMBIGUOUS	low_margin			HUB-D1102|HUB-D1103|HUB-D1104|HUB-D1106|HUB-D1105	אַבראַמאָוו, א. [אַברהם קאַגאָן]|אַבראַמאָוו, אַדאָלף [אַברהם פּערקאָף]|אַבראַמאָוו, באָריס [פּיינלאַנד]|אַבראַמאָוו|אַבראַמאָוו, מערי [מרים איינהאָרן]	0.3|0.3|0.3|0.3|0.05	0	gender:male|gender-mismatch	HUB-D1102		איינצלנע סעזאָנען אין דעטראָיט מיט אַבראָמאָוון
M-volume7IIIorg-NOXID-אַבראַמען-000	7	facs_86_tr_1757228903	P-7-facs_86_tr_1757228903	סאַנץ, אַדאָ	אבראמען	אַבראַמען	RESOLVED	unique_candidate	HUB-D1100	אַבּערמאן, יצחק [האַבער]	HUB-D1100	אַבּערמאן, יצחק [האַבער]	0.3	0	gender:male	HUB-D1100	1	בשעת זי נעמט איינריידן דעם מאַן אירן, אַבראַמען, ער זאָל פאַרבלייבן אויף די „אימענינעס“
M-volume_1IIIorg-NOXID-אַברהם-002	1	facs_127_tr_1740521131	P-1-facs_127_tr_1740521131	בראָדער בערל	אברהם	אַברהם	RESOLVED	scored	HUB-P-4-facs_664_tr_1755030050	אַברהם עדעלמאַן	HUB-P-4-facs_664_tr_1755030050|HUB-D1552	אַברהם עדעלמאַן|אייסען אַברהם, דר.	0.6|0.3	0	gender:male|fame-prior	HUB-P-4-facs_664_tr_1755030050	1	מוז די אַלמנה צוזאַמען מיט איר עלטערן זון אַברהם, עפנען אַ געשעפט פֿון טעפּ.
M-volume_1IIIorg-NOXID-אַברהם-004	1	facs_201_tr_1741260321	P-1-facs_201_tr_1741260321	גאָלדפֿאַדען, נפתלי [גאָלדענפֿאָדים]	אברהם	אַברהם	AMBIGUOUS	low_margin			HUB-P-4-facs_664_tr_1755030050|HUB-D1552	אַברהם עדעלמאַן|אייסען אַברהם, דר.	0.6|0.4	0	gender:male|fame-prior|career-overlap	HUB-P-4-facs_664_tr_1755030050		ברודער פֿון אַברהם.
M-volume_1IIIorg-NOXID-אַברהם-003	1	facs_201_tr_1741260327	P-1-facs_201_tr_1741260327	גאָלדפֿאַדען יידל [איליאַ גאָלדענפֿאָדים]	אברהם	אַברהם	AMBIGUOUS	low_margin			HUB-P-4-facs_664_tr_1755030050|HUB-D1552	אַברהם עדעלמאַן|אייסען אַברהם, דר.	0.6|0.4	0	gender:male|fame-prior|career-overlap	HUB-P-4-facs_664_tr_1755030050		צוזאַמען מיט זיין ברודער אַברהם, האָט ער געענדיקט די ראָבינער-שול אין זשיטאָמיר, וואו ער האָט זיך, אַזוי ווי זיין גרודער, אויסגעצייכנט אַלס תלמיד.
M-volume_1IIIorg-NOXID-אַברהם-005	1	facs_209_tr_1741260255	P-1-facs_209_tr_1741260255	גאָלובאַק, אַננאַ [חנה רובינשטיין]	אברהם	אַברהם	RESOLVED	scored	HUB-P-4-facs_664_tr_1755030050	אַברהם עדעלמאַן	HUB-P-4-facs_664_tr_1755030050|HUB-D1552	אַברהם עדעלמאַן|אייסען אַברהם, דר.	0.6|0.3	0	gender:male|fame-prior	HUB-P-4-facs_664_tr_1755030050	1	פֿון דאָרט שיקט ער [לויט באָריס טאָמאַשעווסקי] קיין ניו יאָרק צו זיין ברודער אַברהם אַפֿישן
M-volume_1IIIorg-NOXID-אַברהם-006	1	facs_210_tr_1741260180	P-1-facs_210_tr_1741260180	גאָלובאַק, מיראָן ע.	אברהם	אַברהם	UNKNOWN	all_gated_out						0	gender:male|year:1882	HUB-P-4-facs_664_tr_1755030050		צוזאַמען מיט זיין ברודער לעאָן, געבראַכט געוואָרן אַלס אַקטיאָר קיין אָמעריקע דורך זיין דאָרטיקן ברודער אַברהם
M-volume_1IIIorg-NOXID-אברהם-002	1	facs_384_r	P-1-facs_384_r	זאָלאַטאַרעפסקי, איזידאָר [יצחק]	אברהם	אברהם	UNKNOWN	all_gated_out						0	gender:male|year:1890	HUB-P-4-facs_664_tr_1755030050		"אויפגעזוסט אין פֿאָל ריווער זיינעם אַ ברודער, אַברהם, וועלכער פלעגט פֿון צייט צו צייט שפּילן יידיש טעאַטער מיט „ליבהאָבער"""
M-volume_1IIIorg-NOXID-אברהם-003	1	facs_401_r_14	P-1-facs_401_r_14	זיגלער, ראָזאַ [ראָזענשטיין]	אברהם	אברהם	RESOLVED	scored	HUB-P-4-facs_664_tr_1755030050	אַברהם עדעלמאַן	HUB-P-4-facs_664_tr_1755030050|HUB-D1552	אַברהם עדעלמאַן|אייסען אַברהם, דר.	0.6|0.3	0	gender:male|fame-prior	HUB-P-4-facs_664_tr_1755030050	1	ווערן ז.'ס דריי ברידער, אברהם, שמואל און לייזער — פאָלקסזינגער.
M-volume_1IIIorg-NOXID-אברהם-001	1	facs_44_tr_1740521158	P-1-facs_44_tr_1740521158	אייכעל, יצחק	אברהם	אברהם	RESOLVED	scored	HUB-P-4-facs_664_tr_1755030050	אַברהם עדעלמאַן	HUB-P-4-facs_664_tr_1755030050|HUB-D1552	אַברהם עדעלמאַן|אייסען אַברהם, דר.	0.6|0.3	0	gender:male|fame-prior	HUB-P-4-facs_664_tr_1755030050	1	א. האָט איבערגעלאָזט אַן איינציקן זון, אַברהם, גערופֿן נאָכן זיידן.
M-volume_1IIIorg-NOXID-אַברהם-001	1	facs_78_tr_1740521049	P-1-facs_78_tr_1740521049	באָקשיצקי,לואיס [לייב]	אברהם	אַברהם	RESOLVED	scored	HUB-P-4-facs_664_tr_1755030050	אַברהם עדעלמאַן	HUB-P-4-facs_664_tr_1755030050|HUB-D1552	אַברהם עדעלמאַן|אייסען אַברהם, דר.	0.6|0.3	0	gender:male|fame-prior	HUB-P-4-facs_664_tr_1755030050	1	שפּעטער אין דער סילווער דראָמאָטיק סאַסייעט' (וואו שמר און זיין זון אַברהם זיינען די פֿירער)
M-Volume_3IIIorg-NOXID-אַברהם-000	3	facs_269_tr_1755674195	P-3-facs_269_tr_1755674195	טאָמער צונזער, מרים (מיני)	אברהם	אַברהם	RESOLVED	scored	HUB-P-4-facs_664_tr_1755030050	אַברהם עדעלמאַן	HUB-P-4-facs_664_tr_1755030050|HUB-D1552	אַברהם עדעלמאַן|אייסען אַברהם, דר.	0.6|0.3	0	gender:male|fame-prior	HUB-P-4-facs_664_tr_1755030050	1	ש.'ס ברודער, אַברהם, און שוועסטער, ראָזע, זיינען געווען פֿאַרבונדן מיטן יידישן טעאַטער
M-Volume_3IIIorg-NOXID-אברהם-000	3	facs_355_tr_1755856094	P-3-facs_355_tr_1755856094	רייזען, זלמן	אברהם	אברהם	RESOLVED	scored	HUB-P-4-facs_664_tr_1755030050	אַברהם עדעלמאַן	HUB-P-4-facs_664_tr_1755030050|HUB-D1552	אַברהם עדעלמאַן|אייסען אַברהם, דר.	0.6|0.3	0	gender:male|fame-prior	HUB-P-4-facs_664_tr_1755030050	1	וועגן ר.'ס קינדהייט דערציילט זיין ברודער, דער דיכטער אברהם, אין זיינע דעראינערונגען
M-Volume_4IIIorg-NOXID-אַברהם-011	4	facs_332_tr_1754998443	P-4-facs_332_tr_1754998443	אינווענטאַרזש, יצחק	אברהם	אַברהם	RESOLVED	scored	HUB-P-4-facs_664_tr_1755030050	אַברהם עדעלמאַן	HUB-P-4-facs_664_tr_1755030050|HUB-D1552	אַברהם עדעלמאַן|אייסען אַברהם, דר.	0.6|0.3	0	gender:male|fame-prior	HUB-P-4-facs_664_tr_1755030050	1	פאָטערס ברודער, אַברהם, רב אין וואָווער.
M-Volume_4IIIorg-NOXID-אברהם-004	4	facs_655_tr_1755030260	P-4-facs_655_tr_1755030260	יעקב דובאָוו	אברהם	אברהם	RESOLVED	scored	HUB-P-4-facs_664_tr_1755030050	אַברהם עדעלמאַן	HUB-P-4-facs_664_tr_1755030050|HUB-D1552	אַברהם עדעלמאַן|אייסען אַברהם, דר.	0.6|0.3	0	gender:male|fame-prior	HUB-P-4-facs_664_tr_1755030050	1	ער האָט זיין עלטסטן זון, אַברהם, געגעבן אַ גוטע דערציאונג און אים חתונה געמאַכט אין אַ יחוסדיקער משפּחה.
M-Volume_4IIIorg-NOXID-אַברהם-010	4	facs_96_tr_1753602020	P-4-facs_96_tr_1753602020	ראָזענשטיין, לייזער	אברהם	אַברהם	AMBIGUOUS	low_margin			HUB-P-4-facs_664_tr_1755030050|HUB-D1552	אַברהם עדעלמאַן|אייסען אַברהם, דר.	0.6|0.4	0	gender:male|fame-prior|career-overlap	HUB-P-4-facs_664_tr_1755030050		ר.'ס ברידער סעמיועל (יעקב-שמואָל) און אַברהם און זייער שוועסטער ראָזע (זיגלער זיינען געווען יידישע אַקטיאָרן.
M-Volume5IIIorg-5-facs_242_tr_1739221237-אַברהם-000	5	facs_242_tr_1739221237	P-5-facs_242_tr_1739221237	זיגלבוים, פיניע	אברהם	אַברהם	RESOLVED	scored	HUB-P-4-facs_664_tr_1755030050	אַברהם עדעלמאַן	HUB-P-4-facs_664_tr_1755030050|HUB-D1552	אַברהם עדעלמאַן|אייסען אַברהם, דר.	0.6|0.3	0	gender:male|fame-prior	HUB-P-4-facs_664_tr_1755030050	1	ברודער פֿון שוישפּילער אַברהם
M-volume6IIIorg-6-facs_565_tr_1752129114-אַברהם-000	6	facs_565_tr_1752129114	P-6-facs_565_tr_1752129114	אַש, חיהלע	אברהם	אַברהם	AMBIGUOUS	low_margin			HUB-P-4-facs_664_tr_1755030050|HUB-D1552	אַברהם עדעלמאַן|אייסען אַברהם, דר.	0.6|0.4	0	gender:male|year:1920|fame-prior|career-overlap	HUB-P-4-facs_664_tr_1755030050		עלטערן — אַברהם און פּאָליאַ — יידישע אַקטיאָרן
M-volume6IIIorg-NOXID-אַברהם-009	6	facs_565_tr_1752129114	P-6-facs_565_tr_1752129114	אַש, חיהלע	אברהם	אַברהם	RESOLVED	scored	HUB-P-4-facs_664_tr_1755030050	אַברהם עדעלמאַן	HUB-P-4-facs_664_tr_1755030050|HUB-D1552	אַברהם עדעלמאַן|אייסען אַברהם, דר.	0.6|0.3	0	gender:male|fame-prior	HUB-P-4-facs_664_tr_1755030050	1	דאָ אָרגאַניזירט זי מיט איר מאַן און שוואַגער אַברהם אַ קליין-קונסט-טרופּע
M-volume6IIIorg-NOXID-אַברהם-007	6	facs_70_tr_1747746125	P-6-facs_70_tr_1747746125	פרענק, יעקב	אברהם	אַברהם	AMBIGUOUS	low_margin			HUB-P-4-facs_664_tr_1755030050|HUB-D1552	אַברהם עדעלמאַן|אייסען אַברהם, דר.	0.6|0.4	0	gender:male|fame-prior|career-overlap	HUB-P-4-facs_664_tr_1755030050		זיין טאָכטער בעלאַ און זון אַברהם האָבן אַ געוויסע צייט געשפּילט אויף דער יידישער בינע.
M-volume6IIIorg-NOXID-אַברהם-008	6	facs_71_r_13	P-6-facs_71_r_13	פרענק, חנה [איינבינדער]	אברהם	אַברהם	AMBIGUOUS	low_margin			HUB-P-4-facs_664_tr_1755030050|HUB-D1552	אַברהם עדעלמאַן|אייסען אַברהם, דר.	0.6|0.4	0	gender:male|fame-prior|career-overlap	HUB-P-4-facs_664_tr_1755030050		פ.'ס קינדער אַברהם, בעלאַ און בעטי האָבן געשפּילט אויף דער יידישער בינע.
M-volume_1IIIorg-NOXID-אָדאָלף-000	1	facs_119_tr_1740521143	P-1-facs_119_tr_1740521143	בערמאַן, הערמאַן	אדאלף	אָדאָלף	RESOLVED	unique_candidate	HUB-D1474	דאובער אדאלף,	HUB-D1474	דאובער אדאלף,	0.3	0	gender:male			ב.'ס קינדער פֿון דער אַקטריסע טרילינג זיינען: אָדאָלף, אַ פּראָרוסער פֿון טענץ אויף בראָדוויי אין ניו יאָרק
M-volume_1IIIorg-NOXID-אָדאָלף-001	1	facs_256_tr_1741260264	P-1-facs_256_tr_1741260264	גימפּעל, יעקב-בער	אדאלף	אָדאָלף	RESOLVED	unique_candidate	HUB-D1474	דאובער אדאלף,	HUB-D1474	דאובער אדאלף,	0.3	0	gender:male			זיין צווייטער זון, אָדאָלף, איז געווען דיריגענט אין זעלבן טעאַטער.
M-volume_2IIIorg-NOXID-אַדאָלף-002	2	facs_56_tr_1744131372	P-2-facs_56_tr_1744131372	טרילינג, איליאַ (סימאָן)	אדאלף	אַדאָלף	RESOLVED	unique_candidate	HUB-D1474	דאובער אדאלף,	HUB-D1474	דאובער אדאלף,	0.3	0	gender:male			ט.'ס בּרוּדער, אַדאָלף, איז אַ טאַנץ-מייסטער אויף בּראָדוויי אין ניוּ-יאָרק
M-Volume5IIIorg-NOXID-אַדאָלף-001	5	facs_371_r_2	P-5-facs_371_r_2	טעפנער, וואָלף	אדאלף	אַדאָלף	RESOLVED	unique_candidate	HUB-D1474	דאובער אדאלף,	HUB-D1474	דאובער אדאלף,	0.3	0	gender:male			ברודער פֿון די אַקטיאָרן קאַרל און אַדאָלף
M-Volume5IIIorg-NOXID-אַדאָלף-000	5	facs_50_tr_1733050548	P-5-facs_50_tr_1733050548	גימפּעלף, עמיל (שמואַל-מענדל)	אדאלף	אַדאָלף	RESOLVED	unique_candidate	HUB-D1474	דאובער אדאלף,	HUB-D1474	דאובער אדאלף,	0.3	0	gender:male			עמיל, וואָס איז געווען פיפיקער פון (זיין ברודער) אַדאָלפֿן
M-volume_1IIIorg-NOXID-אָדלער-006	1	facs_100_tr_1740521002	P-1-facs_100_tr_1740521002	בירנבוים, מיני [מינדל פּולפּעל]	אדלער	אָדלער	AMBIGUOUS	family_abstain_suggested			HUB-D1116|HUB-D1120|HUB-D1121|HUB-D1123|HUB-D1124|HUB-D1128|HUB-D1129|HUB-D706|HUB-D740|HUB-D1115|HUB-D1117|HUB-D1118|HUB-D1119|HUB-D1122|HUB-D1125|HUB-D1126|HUB-D1127	אַדלער בעני|אַדלער, היימאַן [באַרטפּעלד]|אַדלער, ישראל|אַדלער, יוליוס|אַדלער, דזשוליוס [יואל]|אַדלער ירמיהו [גאָלדענבערג-טווערסקי]|אַדלער יוזשע|אַדלער, יעקב פּ. [יעקב בן פּנחס]|אַדלער, סעם|אַדלער עמיליע [שרה-מילקע שטאָנג]|אַדלער צילע|אַדלער, אסתר [שאצקי]|אַדלער פֿרענציס|אַדלער דזשוליאַ|אַדלער, קאָטיאָ [גוראַלניק]|אַדלער סעראַ [שרה-סאָניאַ לעוויצקאַ, היינע-חיימאָוויטש]|אַדלער, סטעלאַ	0.3|0.3|0.3|0.3|0.3|0.3|0.3|0.3|0.3|0.05|0.05|0.05|0.05|0.05|0.05|0.05|0.05	1	gender:male|family-cluster|gender-mismatch			ווערט פֿון ראָרט אָנגאַזשירט דורך טאָמאָשעווסקי, אָדלער און עדעלשטיין
M-volume_1IIIorg-NOXID-אַדלער-015	1	facs_100_tr_1740521004	P-1-facs_100_tr_1740521004	בירנבוים, לואיס [יעקב לייב]	אדלער	אַדלער	AMBIGUOUS	family_abstain_suggested			HUB-D706|HUB-D740|HUB-D1116|HUB-D1120|HUB-D1121|HUB-D1123|HUB-D1124|HUB-D1128|HUB-D1129|HUB-D1115|HUB-D1117|HUB-D1118|HUB-D1119|HUB-D1122|HUB-D1125|HUB-D1126|HUB-D1127	אַדלער, יעקב פּ. [יעקב בן פּנחס]|אַדלער, סעם|אַדלער בעני|אַדלער, היימאַן [באַרטפּעלד]|אַדלער, ישראל|אַדלער, יוליוס|אַדלער, דזשוליוס [יואל]|אַדלער ירמיהו [גאָלדענבערג-טווערסקי]|אַדלער יוזשע|אַדלער עמיליע [שרה-מילקע שטאָנג]|אַדלער צילע|אַדלער, אסתר [שאצקי]|אַדלער פֿרענציס|אַדלער דזשוליאַ|אַדלער, קאָטיאָ [גוראַלניק]|אַדלער סעראַ [שרה-סאָניאַ לעוויצקאַ, היינע-חיימאָוויטש]|אַדלער, סטעלאַ	0.4|0.4|0.3|0.3|0.3|0.3|0.3|0.3|0.3|0.05|0.05|0.05|0.05|0.05|0.05|0.05|0.05	1	gender:male|year:1916|family-cluster|gender-mismatch|career-overlap			1916-8 אין פּיפּעלס-טעאַטער ביי אַדלערן
M-volume_1IIIorg-NOXID-אָדלער-007	1	facs_104_tr_1740521041	P-1-facs_104_tr_1740521041	בלום הענרי [היינריך]	אדלער	אָדלער	AMBIGUOUS	family_abstain_suggested			HUB-D1116|HUB-D1120|HUB-D1121|HUB-D1123|HUB-D1124|HUB-D1128|HUB-D1129|HUB-D706|HUB-D740|HUB-D1115|HUB-D1117|HUB-D1118|HUB-D1119|HUB-D1122|HUB-D1125|HUB-D1126|HUB-D1127	אַדלער בעני|אַדלער, היימאַן [באַרטפּעלד]|אַדלער, ישראל|אַדלער, יוליוס|אַדלער, דזשוליוס [יואל]|אַדלער ירמיהו [גאָלדענבערג-טווערסקי]|אַדלער יוזשע|אַדלער, יעקב פּ. [יעקב בן פּנחס]|אַדלער, סעם|אַדלער עמיליע [שרה-מילקע שטאָנג]|אַדלער צילע|אַדלער, אסתר [שאצקי]|אַדלער פֿרענציס|אַדלער דזשוליאַ|אַדלער, קאָטיאָ [גוראַלניק]|אַדלער סעראַ [שרה-סאָניאַ לעוויצקאַ, היינע-חיימאָוויטש]|אַדלער, סטעלאַ	0.3|0.3|0.3|0.3|0.3|0.3|0.3|0.3|0.3|0.05|0.05|0.05|0.05|0.05|0.05|0.05|0.05	1	gender:male|family-cluster|gender-mismatch			פֿאָרט אַרום איבער דער פּראָווינץ מיט די טרופּעס פֿון אָדלער, קעסלער, טאָמאָשעווסקי, בלאַנק, מאָקס ראָזענטאָל און געביל
M-volume_1IIIorg-NOXID-אָדלער-008	1	facs_110_tr_1740520985	P-1-facs_110_tr_1740520985	בעיקער בעל	אדלער	אָדלער	AMBIGUOUS	family_abstain_suggested			HUB-D706|HUB-D740|HUB-D1116|HUB-D1120|HUB-D1121|HUB-D1123|HUB-D1124|HUB-D1128|HUB-D1129|HUB-D1115|HUB-D1117|HUB-D1118|HUB-D1119|HUB-D1122|HUB-D1125|HUB-D1126	אַדלער, יעקב פּ. [יעקב בן פּנחס]|אַדלער, סעם|אַדלער בעני|אַדלער, היימאַן [באַרטפּעלד]|אַדלער, ישראל|אַדלער, יוליוס|אַדלער, דזשוליוס [יואל]|אַדלער ירמיהו [גאָלדענבערג-טווערסקי]|אַדלער יוזשע|אַדלער עמיליע [שרה-מילקע שטאָנג]|אַדלער צילע|אַדלער, אסתר [שאצקי]|אַדלער פֿרענציס|אַדלער דזשוליאַ|אַדלער, קאָטיאָ [גוראַלניק]|אַדלער סעראַ [שרה-סאָניאַ לעוויצקאַ, היינע-חיימאָוויטש]	0.4|0.4|0.3|0.3|0.3|0.3|0.3|0.3|0.3|0.05|0.05|0.05|0.05|0.05|0.05|0.05	1	gender:male|year:1908|family-cluster|gender-mismatch|career-overlap			"אין 1908 האָט אָדלער אַ געלעגנהייט זיי צו הערן און אָנגאַזשירט זיי באָלד אין זיין גרענד-טעאַטער פֿאַר דער ראָל פון יינגל אין גאָרדיןס „אָן אַ היים""."
