play	page	line_id	offset	length	function	role	n	mark	line_text
Lateiner_Meshumed	0021	line_1606075084151_2138	0	2	sceneCue	in		SI	SI | ליובאוו ווירסטו אונטער דיינע פֿענסטיר הערין דיע שטיממע
Lateiner_Meshumed	0021	line_1606075093664_2143	51	3	musicCue	in		R.I	פֿאן דיע יודען וועלכע ווערדען שריין וועה אוי וועה. R.I
Lateiner_Meshumed	0022	line_1607359384930_214	14	4	musicCue	out		R.II	פֿערוואנדלונג R.II SII
Lateiner_Meshumed	0022	line_1607359384930_214	19	3	sceneCue	out		SII	פֿערוואנדלונג R.II SII
Lateiner_Meshumed	0023	line_1607701679322_510	0	2	sceneCue	in		SI	SI
Lateiner_Meshumed	0023	line_1607702072260_729	48	2	musicCue	in		IR	איוואן. | און דאך זאגע איך דיר קאממע מיט אונדז. IR
Lateiner_Meshumed	0023	line_1607701868849_622	0	3	sceneCue	out		SII	SII
Lateiner_Meshumed	0023	line_1607701362791_314	0	3	musicCue	out		IIR	IIR | געריכט הויז. מוזיק שפיעלט. באזשע צאריא חראני ריכטיר איוואן
Lateiner_Meshumed	0024	line_1607703237609_1429	23	3	musicCue	in		R.I	גרעגואר (מיט א פאפיער) R.I
Lateiner_Meshumed	0024	line_1607703219800_1417	7	2	musicCue	in		IR	לעבען. IR
Lateiner_Meshumed	0024	line_1607702209691_818	38	4	musicCue	out		R.II	קאמט און עמפפֿאנגט אייער נייען ברודער R.II
Lateiner_Meshumed	0024	line_1607702343402_874	0	3	musicCue	out		IIR	IIR
Lateiner_Meshumed	0025	line_1607702898787_1204	0	3	musicCue	out		IIR	IIR דריטער אקט (קערקיר)
Lateiner_Meshumed	0026	r2l19	0	3	musicCue	in		R.I	R.I
Lateiner_Meshumed	0026	line_1608460389664_72	0	2	musicCue	in		IR	IR
Lateiner_Meshumed	0026	r1l20	0	3	musicCue	out		IIR	IIR R.II
Lateiner_Meshumed	0026	r1l20	4	4	musicCue	out		R.II	IIR R.II
Lateiner_Meshumed	0027	r1l19	0	3	sceneCue	out		SII	SII
Lateiner_Meshumed	0029	line_1608658810894_709	0	3	musicCue	out		IIR	IIR
Lateiner_Meshumed	0031	line_1608658332410_530	0	2	musicCue	in		IR	IR
Lateiner_Meshumed	0031	line_1608658341293_536	0	2	sceneCue	in		SI	SI
Lateiner_Meshumed	0031	r1l41	0	2	musicCue	in		RI	RI | גליקליכסטע מענשין אויף דער וועלט. יעטצט
Lateiner_Meshumed	0031	r1l8	0	3	musicCue	out		RII	RII
Lateiner_Meshumed	0031	r1l9	0	3	sceneCue	out		SII	SII
Lateiner_Meshumed	0031	line_1608658404103_561	0	3	musicCue	out		IIR	IIR
Lateiner_Meshumed	0032	line_1608658086002_445	0	2	musicCue	in		IR	IR
Lateiner_Meshumed	0032	r1l9	0	2	musicCue	in		RI	RI
Lateiner_Meshumed	0032	line_1608658237690_500	0	2	musicCue	in		IR	IR
Lateiner_Meshumed	0032	r1l35	0	3	musicCue	out		IIR	IIR
Lateiner_Meshumed	0032	r1l36	0	3	musicCue	out		RII	RII כהר זינגט
Lateiner_Meshumed	0033	r2l4	0	3	musicCue	out		IIR	IIR
Lateiner_Meshumed	0036	line_1608637058494_298	0	2	musicCue	in		IR	IR
Lateiner_Meshumed	0037	line_1609680003376_513	0	4	musicCue	out		R II	R II S II
Lateiner_Meshumed	0037	line_1609680003376_513	5	4	sceneCue	out		S II	R II S II
MS_BasKoyen	0006	r1l1	0	1	musicCue	in		I	I
MS_BasKoyen	0006	r1l6	0	1	musicCue	in		I	I 
MS_BasKoyen	0006	r1l10	0	2	musicCue	out		II	II
MS_BasKoyen	0006	r1l23	0	1	musicCue	in		I	I
MS_BasKoyen	0006	r2l6	0	2	musicCue	out		II	II
MS_BasKoyen	0007	r1l14	0	2	musicCue	out		II	II
MS_BasKoyen	0011	r1l2	0	1	musicCue	in		I	I
MS_BasKoyen	0011	r1l12	0	3	musicCue	number	2	N.2	N.2
MS_BasKoyen	0012	r1l13	0	2	musicCue	number	3	N3	N3    II
MS_BasKoyen	0012	r1l13	6	2	musicCue	out		II	N3    II
MS_BasKoyen	0017	r2l2	0	1	musicCue	in		I	I
MS_BasKoyen	0017	l	0	2	musicCue	out		II	II
MS_BasKoyen	0020	r1l23	0	3	musicCue	number	5	N 5	N 5
MS_BasKoyen	0020	r2l10	0	1	musicCue	in		I	I
MS_BasKoyen	0023	l	0	1	musicCue	in		I	I 
MS_BasKoyen	0023	r1l12	0	2	musicCue	out		II	II
MS_BasKoyen	0023	r1l13	17	2	musicCue	number	6	N6	קאהר ווידער האלט N6
MS_BasKoyen	0024	r2l14	0	3	musicCue	number	9	N 9	N 9
MS_BasKoyen	0027	r2l2	0	1	musicCue	in		I	I
MS_BasKoyen	0027	r2l12	0	2	musicCue	out		II	II
MS_BasKoyen	0030	r1l9	0	1	musicCue	in		I	I
MS_BasKoyen	0039	r2l1	0	1	musicCue	in		I	I
MS_BenHaDor	0004	r2l1	0	5	musicCue	number	1	N = 1	N = 1
MS_BenHaDor	0004	r2l5	31	11	musicCue	out		II Returned	2 מערדער קאהר זינגט פריער מארש II Returned
MS_BenHaDor	0004	r2l6	0	3	musicCue	number	1	N=1	N=1
MS_BenHaDor	0006	r1l10	42	7	musicCue	genre		Return:	שיקען אַ רעגען דאָס פֿייער אויס צו לעשען  Return:
MS_BenHaDor	0006	r1l18	28	10	musicCue	out		II Return:	אמון | הזקן מתחיל בתּפֿילה. II Return:
MS_BenHaDor	0006	r1l19	0	3	musicCue	number	2	N=2	N=2
MS_BenHaDor	0007	r1l10	1	4	musicCue	genre		Tanz	"""Tanz"" נאך טאנץ "
MS_BenHaDor	0007	r1l12	0	12	musicCue	in		1 Returnell:	1 Returnell: אמון | דער קעניג קאמט!
MS_BenHaDor	0007	r1l20	6	10	musicCue	out		II Return:	קאהר |II Return: N=3 
MS_BenHaDor	0007	r1l20	17	3	musicCue	number	3	N=3	קאהר |II Return: N=3 
MS_BenHaDor	0011	line_1636738814810_5867	45	11	musicCue	in		1.Returnel:	בן הדור | אך! שרעקליכֿער טאָג מיינעס לעבענס! 1.Returnel:
MS_BenHaDor	0012	r1l3	29	13	musicCue	out		II Returnell:	מיינעס פֿאטערס שטעה מיר בייא II Returnell: No 4.
MS_BenHaDor	0012	r1l3	43	4	musicCue	number	4	No 4	מיינעס פֿאטערס שטעה מיר בייא II Returnell: No 4.
MS_BenHaDor	0013	line_1636739297036_6079	0	9	musicCue	out		II Retur:	II Retur: N 5 וויין מוז תּמוד זיין
MS_BenHaDor	0013	line_1636739297036_6079	10	3	musicCue	number	5	N 5	II Retur: N 5 וויין מוז תּמוד זיין
MS_BenHaDor	0015	r1l2	0	13	musicCue	in		I. Returnelle	I. Returnelle ?רחומה | אָוואַ! וואָס וועסטו דערצעהלען
MS_BenHaDor	0015	r1l8	0	13	musicCue	out		II Returnelle	II Returnelle .בעססער צו לעבען וויא דיא טייבלעך
MS_BenHaDor	0015	r1l9	0	3	musicCue	number	6	N=6	N=6 Terzett
MS_BenHaDor	0015	r1l9	4	7	musicCue	genre		Terzett	N=6 Terzett
MS_BenHaDor	0015	r2l10	0	4	musicCue	genre		Tanz	Tanz [אללע אב]
MS_BenHaDor	0015	r2l11	0	13	musicCue	out		II Returnell:	II Returnell: פֿערוואנדלונג
MS_BenHaDor	0015	r2l14	0	4	musicCue	number	7	No 7	No 7  עלמת סאלא אויפֿין וואסער דיא  ש פט
MS_BenHaDor	0016	r1l2	0	3	musicCue	number	8	N=8	N=8.
MS_BenHaDor	0017	r1l3	0	11	musicCue	in		I Returnel:	I Returnel: .הייליג זיין וויא ראכֿע צו נעהמען אַן דען טיראן
MS_BenHaDor	0017	r1l13	28	12	musicCue	out		II Returnel:	בן הדור |איך שווערע עס דיר. II Returnel:    No=9
MS_BenHaDor	0017	r1l13	44	4	musicCue	number	9	No=9	בן הדור |איך שווערע עס דיר. II Returnel:    No=9
MS_BenHaDor	0017	r1l14	1	5	musicCue	genre		Duett	"""Duett"""
MS_BenHaDor	0018	r2l5	0	11	musicCue	out		II Retunel:	II Retunel: N-10
MS_BenHaDor	0028	r1l15	0	9	musicCue	in		1 Return:	1 Return: מיר שרייען קוקט אים שארף אָן
MS_BenHaDor	0028	r2l3	0	10	musicCue	out		II Return:	II Return: קאהר זינגט מאן שלעפט אים No 11
MS_BenHaDor	0028	r2l3	36	5	musicCue	number	11	No 11	II Return: קאהר זינגט מאן שלעפט אים No 11
MS_BenHaDor	0029	r1l7	0	9	musicCue	in		1 Return:	"1 Return: "" Dromel schläge דארט מיין לפידות"
MS_BenHaDor	0029	r1l14	0	10	musicCue	out		II Return:	II Return: אופטריט עלמת רחומה קאהר. N. 13
MS_BenHaDor	0029	r1l14	36	5	musicCue	number	13	N. 13	II Return: אופטריט עלמת רחומה קאהר. N. 13
MS_BenHaDor	0029	r2l8	0	9	musicCue	in		1 Return:	1 Return: אים ערמארדען
MS_BenHaDor	0029	r2l13	0	11	musicCue	out		II. Return:	II. Return: No 14 קאמט מיט מיר
MS_BenHaDor	0029	r2l13	12	5	musicCue	number	14	No 14	II. Return: No 14 קאמט מיט מיר
MS_BenHaDor	0032	r2l2	0	9	musicCue	in		1 Return:	1 Return: גאטט איבער מיין קינד
MS_BenHaDor	0032	r2l11	0	9	musicCue	out		2 Return:	2 Return: N= 15 זעה קריכֿען זינגען אללע אליבען
MS_BenHaDor	0032	r2l11	10	5	musicCue	number	15	N= 15	2 Return: N= 15 זעה קריכֿען זינגען אללע אליבען
MS_BenHaDor	0032	r2l12	0	7	musicCue	genre		Terzett	Terzett
MS_BenHaDor	0033	r2l6	11	4	musicCue	genre		Tanz	אללע טאנצן Tanz [אב]
MS_BenHaDor	0035	r2l5	0	14	musicCue	out		II. Returnell:	II. Returnell: N= 16.
MS_BenHaDor	0035	r2l5	15	5	musicCue	number	16	N= 16	II. Returnell: N= 16.
MS_BenHaDor	0036	r2l9	15	11	musicCue	in		1 Returnell	קעניג בן הדור! 1 Returnell.
MS_BenHaDor	0036	r2l16	0	11	musicCue	out		2.Returnell	2.Returnell קאהר N=17
MS_BenHaDor	0036	r2l16	12	4	musicCue	genre		קאהר	2.Returnell קאהר N=17
MS_BenHaDor	0036	r2l16	17	4	musicCue	number	17	N=17	2.Returnell קאהר N=17
MS_DiTsveyTnoim	0020	r2l7	0	7	musicCue	genre		Quarted	Quarted No.
MS_DiTsveyTnoim	0039	r1l12	13	2	musicCue	number	3	N3	Auf: Ansal | N3 בר-נזיר. בן פּדות
MS_Emigration	0005	r1l1	0	2	musicCue	in		RI	RI
MS_Emigration	0005	r1l9	0	3	musicCue	out		RII	RII N קאהר דער שעהנער זאממער
MS_Emigration	0012	r1l9	0	2	musicCue	number	2	N2	N2 (מען הערט מאריץ מיט ראשעל זינגען איין דועט)
MS_Emigration	0018	r1l8	0	3	musicCue	number	3	N 3	N 3 (דועט)
MS_Emigration	0022	r1l1	0	2	musicCue	number	4	N4	N4
MS_Emigration	0025	line_1653485325706_1703	0	2	musicCue	in		RI	RI סאנו
MS_Emigration	0025	r1l11	0	3	musicCue	out		RII	RII .אננא וועה איז מיר וויא איזט מיין קינד מיין ראשעל
MS_Emigration	0026	r1l2	0	2	musicCue	in		RI	RI
MS_Emigration	0026	line_1653485611216_1761	0	3	musicCue	number	5	N 5	N 5
MS_Emigration	0026	r1l7	0	3	musicCue	out		RII	RII
MS_Emigration	0029	line_1653486119865_2083	1	5	musicCue	in		I Ret	 I Ret נאך גליקליך לעבען
MS_Emigration	0030	r1l5	44	2	musicCue	number	6	N6	שטענדיג מיט מיר. וואלען וויר בייטען פאר דיא N6 (דועט) (אב)
MS_Emigration	0030	r1l8	0	6	musicCue	out		II Ret	II Ret 4
MS_Emigration	0030	line_1653486216865_2179	0	2	musicCue	number	7	N7	N7 ירוחם לעדיג לעם
MS_Emigration	0042	r1l2	0	5	musicCue	in		I Ret	I Ret
MS_Emigration	0042	line_1653492743294_4075	0	6	musicCue	out		II Ret	II Ret
MS_Emigration	0042	r1l18	0	2	musicCue	number	8	N8	N8
MS_Emigration	0043	r1l2	11	2	musicCue	number	9	N9	זשאנדארמען N9
MS_Emigration	0046	r1l5	0	3	musicCue	out		RII	RII
MS_Emigration	0047	r1l14	0	3	musicCue	out		RII	RII
MS_Emigration	0048	r1l2	0	5	musicCue	out		II Re	II Re
MS_Emigration	0048	r1l3	0	4	musicCue	number	10	N 10	"N 10 (דריטטער אקט (קאפפע הויז אין קס""פל"
MS_Emigration	0057	r1l9	0	2	musicCue	in		RI	RI
MS_Emigration	0057	r1l19	51	3	musicCue	out		RII	קעלנער (שטיל צו שפינער) לאסט איהם פאראויס געהן (אב RII
MS_Emigration	0058	r1l4	29	3	musicCue	out		RII	מאריץ (ליעגענד אויף דער ערד) RII
MS_Emigration	0062	r1l12	0	2	musicCue	in		RI	RI
MS_Emigration	0062	r1l21	0	3	musicCue	out		RII	RII אבדול פאליצייא
MS_Emigration	0080	line_1653496784610_5941	0	4	musicCue	in		IRet	IRet דיך אונד האססע דיך צו גלייכער צייט (איך ליעבע
MS_Emigration	0080	line_1653496784610_5941	31	3	musicCue	genre		כער	IRet דיך אונד האססע דיך צו גלייכער צייט (איך ליעבע
MS_Emigration	0080	r1l12	0	3	musicCue	number	12	N12	N12 II Ret. (אזוי פיעל לערם)
MS_Emigration	0080	r1l12	4	6	musicCue	out		II Ret	N12 II Ret. (אזוי פיעל לערם)
MS_Emigration	0094	line_1653499353424_339	0	11	musicCue	out		II Returnel	II Returnel RII
MS_Emigration	0094	line_1653499353424_339	12	3	musicCue	out		RII	II Returnel RII
MS_Emigration	0094	line_1653499362470_349	0	6	musicCue	genre		Marsch	Marsch
MS_Emigration	0095	line_1653499518585_503	0	11	musicCue	out		II Returnel	II Returnel
MS_Emigration	0097	r1l4	0	5	musicCue	in		I Ret	I Ret
MS_Emigration	0097	r1l12	31	11	musicCue	out		II Returnel	סאני איך ווילל ניט איך געה ניט II Returnel
MS_Emigration	0108	line_1653491006393_3349	0	2	musicCue	in		RI	RI
MS_Emigration	0109	line_1653490737258_3270	0	3	musicCue	out		RII	RII X .?מאריץ ערטראנקען
MS_Emigration	0110	line_1653490514251_3206	0	3	musicCue	out		RII	RII4
MS_KhurbnYerusholaim	0024	r2l13	5	4	musicCue	genre		Duet	2 cm Duet II
MS_KhurbnYerusholaim	0024	r2l13	10	2	musicCue	out		II	2 cm Duet II
MS_KhurbnYerusholaim	0033	r1l17	0	2	musicCue	out		II	II arya
MS_KhurbnYerusholaim	0033	r1l17	3	4	musicCue	genre		arya	II arya
MS_TissaEssler	0007	region_1643560356202_457l19	0	3	musicCue	number	3	N 3	N 3
MS_TissaEssler	0008	r2l9	0	5	musicCue	number	4	No. 4	No. 4 Returne N=
MS_TissaEssler	0013	r1l31	0	4	musicCue	number	1	No 1	No 1
MS_TissaEssler	0013	line_1644016119935_1807	0	3	musicCue	number	2	N 2	N 2
MS_YaakovEsav	0006	r3l7	1	4	musicCue	number	1	No 1	.No 1
MS_YoysefInEgipten	0025	r2l1	51	5	musicCue	number	9	No. 9	אין קעטען געשלאסען %מען בריינגט יוסיפען אין קייטין No. 9%
